Text,Question Id,Test Id,Scale Id,Photo
Мне легко испортить настроение.,1,42,,
"Если меня кто-то обидел, я долго потом помню этот случай.",2,42,,
"Я долго переживаю из-за мелких неприятностей (опоздал на автобус, разбил чашку, испачкал рукав одежды).",3,42,,
"Я могу в течение продолжительного времени находиться в состоянии, когда не хочется никого видеть и ни с кем разговаривать.",4,42,,
Посторонние разговоры и шумы очень меня отвлекают.,5,42,,
"Я могу в течение длительного времени анализировать свои переживания, чувства, поступки.",6,42,,
Мои действия направляются сиюминутным порывом.,7,42,,
Мне часто снятся кошмары.,8,42,,
"Меня тревожит мысль, что я чем-то хуже других.",9,42,,
У меня очень часто меняется настроение.,10,42,,
"В моем голосе во время спора начинают звучать низкие или высокие тона, которые обычно мне несвойствены.",11,42,,
Мне ничего не стоит выйти из себя.,12,42,,
"Если у меня плохое настроение, даже вкусная еда не сможет мне его поднять.",13,42,,
"Если меня не понимают, меня это очень раздражает.",14,42,,
"Можешь ли ты выполнить всю работу, которая тебе неинтересна, сразу, если время позволяет выполнять ее по частям?",15,41,,
Легко ли тебе преодолеть внутреннее сопротивление и заняться каким-то неприятным делом?,16,41,,
"Можешь ли ты в конфликтной ситуации взять себя в руки и объективно оценить, кто прав, а кто виноват?",17,41,,
Способен/на ли ты строго соблюдать прописанную вам диету?,18,41,,
"Если ты решаешь завтра встать пораньше, удается ли тебе осуществить это намерение?",19,41,,
"Если ты становишься свидетелем какого-либо происшествия, остаешься ли ты на месте, чтобы впоследствии дать необходимые показания?",20,41,,
Ты сразу отвечаешь на письма?,21,41,,
"Обычно ты находишь в себе силы не отменить в последний момент заранее запланированное мероприятие, вызывающее у тебя страх.",22,41,,
"Если выписанное врачом лекарство очень неприятное, ты все равно будешь его принимать?",23,41,,
Ты всегда выполняешь данное кому-то слово?,24,41,,
Ты легко соглашаешься на дальнюю поездку в незнакомый город?,25,41,,
Ты придерживаешься определенного распорядка дня?,26,41,,
Всегда ли ты возвращаешь книги в библиотеку вовремя?,27,41,,
"Прервешь ли ты выполнение срочной работы, чтобы посмотреть по телевизору очень интересную передачу?",28,41,,
"Сможешь ли ты первым прекратить ссору, даже если тебе очевидно, что твой оппонент не прав?",29,41,,
"Мне больше нравятся книги о путешествиях, чем книги из серии «Жизнь замечательных людей».",30,51,,
Взрослых детей раздражает забота родителей.,31,51,,
Мне нравится размышлять о причинах успехов и неудачах других людей.,32,51,L,
Среди всех музыкальных передач предпочитаю передачи о современной музыке.,33,51,,
"Чрезмерную раздражительность и несправедливые упреки больного надо терпеть, даже если они продолжаются годами.",34,51,,
Больному человеку можно помочь даже словом.,35,51,,
Посторонним людям не следует вмешиваться в конфликт между двумя лицами.,36,51,,
"Старые люди, как правило, обидчивы без причин.",37,51,,
"Когда в детстве слушал грустную историю, на мои глаза сами по себе наворачивались слезы.",38,51,L,
Раздраженное состояние моих родителей влияет на мое настроение.,39,51,,
Я равнодушен/на к критике в мой адрес.,40,51,L,
"Мне больше нравится рассматривать портреты, чем картины с пейзажами.",41,51,,
"Я всегда прощал(а) все родителям, даже если они были неправы.",42,51,L,
"Если лошадь плохо тянет, ее нужно хлестать.",43,51,,
"Когда я читаю о драматических событиях в жизни людей, то чувствую, словно это происходит со мной.",44,51,L,
Родители относятся к своим детям справедливо.,45,51,,
"Видя ссорящихся подростков или взрослых, я вмешиваюсь.",46,51,,
Я не обращаю внимание на плохое настроение моих родителей.,47,51,,
"Я подолгу наблюдаю за поведением животных, откладывая другие дела.",48,51,,
Фильмы и книги могут вызвать слезы только у несерьезных людей.,49,51,,
Мне нравится наблюдать за выражением лиц и поведением незнакомых людей.,50,51,,
В детстве я приводил(а) домой кошек и собак.,51,51,,
Все люди необоснованно озлобленны.,52,51,,
"Глядя на постороннего человека, мне хочется угадать, как сложится его жизнь.",53,51,,
В детстве младшие по возрасту ходили за мной по пятам.,54,51,,
При виде покалеченного животного я стараюсь ему чем-то помочь.,55,51,,
"Человеку станет легче, если внимательно слушать его жалобы.",56,51,L,
"Увидев уличное происшествие, я стараюсь не попадать в число свидетелей.",57,51,L,
